cell_1 cell_2 cell_3 cell_4 cell_5 cell_6 cell_7 cell_8 cell_9 cell_10 cell_11 cell_12 cell_13 cell_14 cell_15 cell_16 cell_17 cell_18 cell_19 cell_20 cell_21 cell_22 cell_23 cell_24 cell_25 cell_26 cell_27 cell_28 cell_29 cell_30 cell_31 cell_32 cell_33 cell_34 cell_35 cell_36 cell_37 cell_38 cell_39 cell_40 cell_41 cell_42 cell_43 cell_44 cell_45 cell_46 cell_47 cell_48 cell_49 cell_50 cell_51 cell_52 cell_53 cell_54 cell_55 cell_56 cell_57 cell_58 cell_59 cell_60 cell_61 cell_62 cell_63 cell_64 cell_65 cell_66 cell_67 cell_68 cell_69 cell_70 cell_71 cell_72 cell_73 cell_74 cell_75 cell_76 cell_77 cell_78 cell_79 cell_80 cell_81 cell_82 cell_83 cell_84 cell_85 cell_86 cell_87 cell_88 cell_89 cell_90 cell_91 cell_92 cell_93 cell_94 cell_95 cell_96 cell_97 cell_98 cell_99 cell_100 cell_101 cell_102 cell_103 cell_104 cell_105 cell_106 cell_107 cell_108 cell_109 cell_110 cell_111 cell_112 cell_113 cell_114 cell_115 cell_116 cell_117 cell_118
Arl2bp 0 0 0 0 0 0 0 0 2 0 2 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 2 2 0 0 0 2 2 0 0 0 2 0 2 2 0 1 0 0 2 2 1 1 2 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 0 0 0 0 1 0 0 2 2 0 0 0 2 0 0 0 2 1 1 0 0 2 0 0 2 0 1 1 2 0 0 0 0 3
Arl8b 1 0 0 0 2 0 2 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 1 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 2 0 1 0 2 0 0 0 0 2 0 2 2 0 0 2 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
Armcx2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 1 0 0 1 0 2 2 0 3 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2 2 2 0 0 0 0 0 0 0 0
Arntl 2 0 0 0 0 0 2 0 2 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 2 2 2 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0
Arpp19 0 0 1 0 0 2 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 2 3 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
Arrdc3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0
Asf1b 1 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 2 2 2 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0
Asl 0 0 1 1 1 0 0 2 2 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 3 0 0 2 0 0 0 0 2 0 0 2 0 0 0 0 0 2 2 0 0 2 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 2 2 0 1 0 0 0 1
Asprv1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0
Atad3a 0 0 0 2 1 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 3 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0
Atg16l2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0
Atg4c 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 1 2 0 3 0 0 2 1 0 0 0 0 1 0 2 1 0 1 0 1 0 1 1 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0
Atoh1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 2
Atp10b 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
Axl 0 0 0 0 0 2 1 2 0 1 0 0 2 0 1 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 2 1 0 1 1 1 0 0 2 1 0 2 1 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 1 1 2 0 0 0 2
B3galt6 1 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 2 0 2 2 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 2 0 2 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
B4galt3 1 2 1 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 2 0 0 2 0 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 0 1 1 0 3 2 0 0 0
B4galt5 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 2 2 1 0 1 2 2 0 0 0 2 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 1 2 0 0 0 0 2 0 2 1 1 0 1 4 0 0 2 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 2 2 0 0 0 0 2 0 0 0 2 0 0 0 1 2 0 0 1 0 0 2
B930092h01rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 2 1 1 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 0
Baalc 3 2 1 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 1 2 1 2 1 1 0 1 0 1 0 2 1 0 0 0 0 0 1 2 0 0 0 0 1 0 2 0 0 0 2 0 0 1 0 0 2 0 0 0 1 2 0 0 0 0 2 3 1 0 0 0 2 0 0 0 1 2 0 2 0 2 2
Bcl9 1 1 0 2 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 1 0 2 1 0 0 0 2 0 1 2 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 1 1 2 2 0 2 0 0 2 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 2 3 0 0 1 0 0 0
Bdh1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0
Bdkrb1 0 0 0 0 0 0 0 1 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 2 0 1 2 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2 0 2 0 2 0 0 0 2 0 2 2 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0
Bdkrb2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 2 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
Bend3 0 0 2 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0 2 0 0 1 2 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 2 2 0 0 0
Best3 2 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 2 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0
Bicd2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 3 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 2 2 2 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 2 3 1 0 2 0 0 1 0 2 1 2 0 0 1 0 0
Bivm 2 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 0 1 0 0 2 2 1 0 0 1 1 0 1 0 2 1 2 3 0 2 0 0 0 0 0 1 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 1 0 0 0 0 2 2 0 2 0 0 0 0 0 0 1 0 0 0 0 2
Bms1 1 0 1 0 1 0 1 0 0 0 2 2 2 0 0 0 0 2 0 0 2 1 0 3 1 0 0 2 2 0 0 0 1 0 0 1 0 0 2 0 2 0 0 1 0 0 1 0 2 0 0 0 0 1 4 4 1 0 0 2 1 0 2 0 1 0 2 0 0 0 2 3 0 0 0 1 2 2 2 1 0 0 0 0 1 1 0 2 3 0 2 0 0 2 0 2 0 0 2 0 1 0 1 2 0 0 2 0 0 0 0 1 1 1 1 0 0 0
Brpf3 1 0 1 2 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 2 2 0 0 0 2 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 1 0 2 2 2 0 0 1 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2
Btbd17 2 0 0 0 0 2 0 0 0 0 0 0 3 0 1 0 1 0 0 0 2 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 3 0 1 0 2 0 0 0 1 2 2 0 1 0 0 2 0 0 2 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 0 1 0 0 1 1 0 0 0 1
Btla 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Btn1a1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 1 1 1 0 2 0 0 1 0 0 1 2 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0
Bub1b 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0 1 2 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 6 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 2 4 0 2 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1
Bub3 3 0 1 0 0 1 1 1 2 0 0 0 0 1 1 0 0 0 0 2 2 2 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 2 2 0 0 2 0 0 3 0 0 0 1 2 2 0 0 1 0 2 1 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 1 2 0 2 1 1 3 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1
Calcrl 1 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 1 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 2 0 1 0 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0
Capn13 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 2 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 1 1 0 1 0 1 2 1 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Car2 0 0 0 2 0 2 0 2 0 0 3 0 0 1 1 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 2 0 0 0 2 2 0 2 2 0 0 2 2 1 2 2 0 0 0 0 1 1 2 0 0 1 1 1 0 2 0 0 0 0 0 0 0 3 0 2 1 0 2 0 0 0 2 0 0 2 2 0 2 0 0 0 1 0 2 1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 2 2
Card10 0 0 0 0 2 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 0 0
Caskin2 0 0 1 0 0 0 0 0 0 3 0 0 0 2 2 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 2 1 0 0 2 0 0 0 1 5 1 0 1 2 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 2 0 0 2 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 2 5 0 0 0 0 0 0 0 0 0 0 2 1
Casq2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0
Cav1 2 0 1 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 2 0 0 1 2 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2 1 0 0 2 0 2 1 1 2 0 0 0 0 0 0 1 1 2 2 0 2
Cbx4 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 2 0 0 0 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
Ccar2 1 0 2 0 0 2 0 0 1 0 2 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 2
Ccdc129 3 0 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
Ccdc157 0 0 2 1 1 1 0 3 2 0 0 0 2 0 0 0 0 0 2 0 2 2 0 0 0 0 2 0 3 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 2 2 2 0 0 0 0 0 1 2 0 0 2 0 2 0 0 2 0 0 2 1 0 0 0 0 0 2 2 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0
Ccdc66 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
Ccdc88b 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Ccr7 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 3 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2 1 0 0 0
Ccser2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cct8l1 0 2 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 2 1 0 2 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 2 2 1 1 0 0 0 0
Cd300ld 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 2 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 2 0 2 0 0 0 2 1 0 0 0 0 0 0
Cd300lf 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 2 0 2 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Cd93 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 3 0 0 1 0 0 1 0 0 0 0 0 2 0 0 2 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 2 0 0 0 0 0 2 0 2 0 2 0 0 0 0
Cdca8 0 0 0 1 1 1 1 2 2 2 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 0 2 0 0 0 1 1 2 0 0 0 0 2 0 0 0 1 0 0 0 2 0 2 0 2 0 0 0 1 0 2 0 0 0 0 0 0 1 0 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
